,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
27,3065,1189,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",88,7,URI_0,Monday,0.0,540.0,7.0,
49,3065,1200,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_16,Monday,6.0,60.0,2.0,Fulltext
67,3065,1207,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_93,Monday,7.0,120.0,4.0,Partners
111,3065,1226,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,9.0,60.0,2.0,
175,3118,1259,APPLICATION,Application,5,Application,9,In general,1000,"(27.39, 82.2]",30,1,URI_45,Monday,10.0,300.0,7.0,Fulltext
179,3065,1259,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_45,Monday,10.0,300.0,7.0,Fulltext
235,3065,1280,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",92,8,URI_0,Monday,10.0,540.0,8.0,
377,3065,1328,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,12.0,420.0,6.0,
444,3065,1358,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_80,Monday,13.0,120.0,5.0,Fulltext
445,3065,1358,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_80,Monday,13.0,120.0,5.0,Fulltext
466,3065,1371,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",429,4,URI_9,Monday,13.0,60.0,4.0,Catalogue
494,3065,1385,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_42,Monday,14.0,480.0,10.0,Fulltext
645,3065,1443,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",125,3,URI_42,Monday,15.0,480.0,9.0,Fulltext
701,3065,1468,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",335,6,URI_111,Monday,16.0,1380.0,16.0,
702,3065,1468,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",452,16,URI_111,Monday,16.0,1380.0,16.0,
717,3065,1472,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",507,2,URI_111,Monday,16.0,1080.0,10.0,
739,3065,1479,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",353,7,URI_42,Monday,16.0,480.0,7.0,Fulltext
798,3065,1503,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",83,6,URI_131,Monday,17.0,360.0,6.0,Partners
817,3065,1511,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_0,Monday,17.0,60.0,3.0,
1165,3326,1638,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",120,1,URI_20,Tuesday,7.0,120.0,2.0,Fulltext
1181,3065,1642,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_106,Tuesday,8.0,840.0,6.0,Partners
1197,3065,1649,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",167,6,URI_80,Tuesday,8.0,240.0,6.0,Fulltext
1210,3065,1657,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_91,Tuesday,8.0,60.0,2.0,Other
1282,3065,1692,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",180,1,URI_111,Tuesday,10.0,1320.0,12.0,
1348,3065,1711,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_9,Tuesday,10.0,420.0,4.0,Catalogue
1444,3065,1751,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",83,6,URI_9,Tuesday,11.0,540.0,10.0,Catalogue
1634,3065,1831,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_5,Tuesday,13.0,120.0,2.0,Catalogue
1869,3065,1947,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",236,19,URI_9,Tuesday,16.0,900.0,19.0,Catalogue
1881,3065,1952,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_0,Tuesday,16.0,120.0,5.0,
1882,3065,1952,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_0,Tuesday,16.0,120.0,5.0,
2020,3065,2011,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_0,Tuesday,18.0,120.0,5.0,
2098,3065,2045,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_42,Tuesday,19.0,60.0,2.0,Fulltext
2223,3459,2103,APPLICATION,Application,5,Application,9,In general,1000,"(27.39, 82.2]",60,1,URI_111,Tuesday,22.0,180.0,3.0,
2224,3460,2103,APPLICATION,Application,5,Application,9,In general,1000,"(27.39, 82.2]",62,3,URI_111,Tuesday,22.0,180.0,3.0,
2374,3065,2149,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",377,3,URI_0,Wednesday,8.0,240.0,4.0,
2506,3065,2221,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_9,Wednesday,10.0,120.0,3.0,Catalogue
2838,3065,2368,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Wednesday,14.0,60.0,2.0,
2857,3065,2377,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_9,Wednesday,14.0,240.0,4.0,Catalogue
2937,3065,2413,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",286,4,URI_41,Wednesday,15.0,240.0,4.0,Fulltext
2994,3065,2435,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_111,Wednesday,15.0,600.0,12.0,
3087,3065,2465,CATALOG,Info,4,Send catalog,7,In general,1000,"(865.2, 917.4]",2651,7,URI_45,Wednesday,16.0,1800.0,21.0,Fulltext
3088,3065,2465,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",191,9,URI_45,Wednesday,16.0,1800.0,21.0,Fulltext
3324,3065,2557,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_0,Wednesday,20.0,1500.0,5.0,
3390,3065,2579,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_0,Wednesday,21.0,180.0,3.0,
3417,3065,2589,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",469,5,URI_111,Wednesday,21.0,480.0,5.0,
3423,3065,2592,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",507,2,URI_111,Wednesday,21.0,60.0,2.0,
3613,3065,2667,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_42,Thursday,8.0,420.0,7.0,Fulltext
3614,3065,2667,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",176,7,URI_42,Thursday,8.0,420.0,7.0,Fulltext
3686,3065,2700,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_0,Thursday,9.0,180.0,3.0,
3838,3065,2755,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",83,6,URI_0,Thursday,10.0,600.0,6.0,
4028,3065,2844,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_42,Thursday,13.0,60.0,2.0,Fulltext
4072,3065,2861,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_44,Thursday,13.0,540.0,4.0,Fulltext
4105,3065,2873,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_0,Thursday,13.0,300.0,6.0,
4178,3065,2895,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_0,Thursday,14.0,360.0,5.0,
4220,3065,2912,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_9,Thursday,14.0,60.0,2.0,Catalogue
4228,3678,2914,APPLICATION,Application,5,Application,9,In general,1000,"(238.8, 291.0]",503,3,URI_0,Thursday,15.0,1020.0,6.0,
4288,3065,2921,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",584,48,URI_9,Thursday,15.0,3540.0,50.0,Catalogue
4330,3689,2942,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_51,Thursday,15.0,240.0,5.0,Other
4372,3065,2956,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_42,Thursday,15.0,240.0,6.0,Fulltext
4433,3065,2994,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_111,Thursday,17.0,240.0,3.0,
4527,3065,3040,CATALOG,Info,4,Send catalog,7,In general,1000,"(969.6, 1021.8]",1020,1,URI_110,Thursday,20.0,1800.0,11.0,
4736,3065,3130,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",113,16,URI_0,Friday,8.0,2580.0,16.0,
4740,3742,3131,APPLICATION,Application,5,Application,9,In general,1000,"(27.39, 82.2]",71,4,URI_132,Friday,8.0,240.0,4.0,OwnWebs
4765,3065,3140,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",313,5,URI_45,Friday,8.0,840.0,6.0,Fulltext
4799,3065,3157,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",184,8,URI_132,Friday,8.0,300.0,9.0,OwnWebs
4853,3065,3177,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",167,6,URI_0,Friday,9.0,300.0,6.0,
4912,3065,3208,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_45,Friday,10.0,180.0,3.0,Fulltext
5041,3065,3260,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_111,Friday,11.0,60.0,3.0,
5112,3065,3301,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_42,Friday,12.0,60.0,3.0,Fulltext
5128,3065,3306,CATALOG,Info,4,Send catalog,7,In general,1000,"(447.6, 499.8]",812,2,URI_0,Friday,12.0,540.0,3.0,
5263,3065,3322,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",92,8,URI_0,Friday,13.0,60.0,8.0,
5812,3065,3578,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_93,Saturday,0.0,780.0,2.0,Partners
5825,3065,3585,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_9,Saturday,1.0,120.0,4.0,Catalogue
6017,3065,3699,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_0,Saturday,17.0,480.0,6.0,
6139,3065,3751,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",502,6,URI_111,Saturday,20.0,840.0,11.0,
6422,3065,3857,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",335,6,URI_117,Sunday,11.0,600.0,9.0,OwnWebs
6489,3065,3883,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",180,1,URI_111,Sunday,13.0,240.0,3.0,
6510,3065,3891,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",407,11,URI_111,Sunday,14.0,960.0,11.0,
6527,3065,3900,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_92,Sunday,14.0,60.0,2.0,Other
6571,3065,3914,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_42,Sunday,15.0,300.0,6.0,Fulltext
6587,3065,3924,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Sunday,15.0,60.0,2.0,
6696,3065,3983,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_0,Sunday,18.0,120.0,4.0,
6732,3065,3998,CATALOG,Info,4,Send catalog,7,In general,1000,"(238.8, 291.0]",406,2,URI_42,Sunday,18.0,420.0,6.0,Fulltext
6794,3065,4023,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Sunday,20.0,960.0,8.0,
6837,3065,4049,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_93,Sunday,21.0,600.0,8.0,Partners
6865,3065,4056,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Sunday,21.0,60.0,2.0,
6868,3065,4057,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_42,Sunday,21.0,180.0,3.0,Fulltext
6909,3065,4068,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",156,5,URI_38,Sunday,22.0,1860.0,17.0,Fulltext
6910,3065,4068,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",229,17,URI_38,Sunday,22.0,1860.0,17.0,Fulltext
6916,3065,4070,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",156,5,URI_64,Sunday,22.0,120.0,5.0,Partners
6951,3065,4084,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_9,Sunday,23.0,60.0,2.0,Catalogue
6975,3065,4088,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",229,17,URI_111,Sunday,23.0,2040.0,21.0,
6994,3065,4094,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",167,6,URI_0,Sunday,23.0,660.0,9.0,
7103,3065,4132,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",167,6,URI_42,Monday,8.0,300.0,9.0,Fulltext
7144,3065,4157,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",286,4,URI_0,Monday,10.0,960.0,7.0,
7248,3065,4191,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",418,12,URI_42,Monday,11.0,1440.0,26.0,Fulltext
7283,3065,4209,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_42,Monday,11.0,60.0,2.0,Fulltext
7307,3065,4223,CATALOG,Info,4,Send catalog,7,In general,1000,"(343.2, 395.4]",755,3,URI_0,Monday,11.0,600.0,5.0,
7415,3065,4261,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_111,Monday,12.0,360.0,5.0,
7434,3065,4270,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Monday,12.0,60.0,2.0,
7436,3065,4271,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Monday,12.0,60.0,2.0,
7819,3065,4428,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_9,Monday,17.0,60.0,3.0,Catalogue
7966,3065,4488,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",95,9,URI_111,Monday,19.0,960.0,9.0,
8053,3065,4531,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_42,Monday,22.0,1740.0,9.0,Fulltext
8179,3065,4604,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_42,Tuesday,8.0,660.0,4.0,Fulltext
8275,3065,4657,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",176,7,URI_126,Tuesday,10.0,480.0,8.0,Partners
8334,3065,4684,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_39,Tuesday,11.0,660.0,8.0,Fulltext
8356,3065,4695,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_42,Tuesday,11.0,60.0,2.0,Fulltext
8364,3065,4700,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",120,1,URI_111,Tuesday,11.0,180.0,3.0,
8592,3065,4808,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Tuesday,14.0,1140.0,10.0,
8603,3065,4811,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",377,3,URI_9,Tuesday,14.0,180.0,3.0,Catalogue
8722,3065,4855,CATALOG,Info,4,Send catalog,7,In general,1000,"(238.8, 291.0]",572,4,URI_9,Tuesday,15.0,120.0,4.0,Catalogue
8779,3065,4877,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_0,Tuesday,15.0,120.0,2.0,
8867,3065,4922,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_43,Tuesday,17.0,60.0,4.0,Fulltext
9122,3065,5046,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",191,9,URI_39,Wednesday,7.0,240.0,9.0,Fulltext
9314,3065,5149,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_42,Wednesday,11.0,120.0,2.0,Fulltext
9319,3065,5150,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",715,4,URI_0,Wednesday,11.0,600.0,5.0,
9354,3065,5168,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_42,Wednesday,11.0,60.0,2.0,Fulltext
9551,3065,5241,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",99,10,URI_0,Wednesday,15.0,3060.0,10.0,
9632,3065,5269,CATALOG,Info,4,Send catalog,7,In general,1000,"(238.8, 291.0]",503,3,URI_39,Wednesday,15.0,420.0,5.0,Fulltext
9790,3065,5340,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_0,Wednesday,17.0,180.0,3.0,
9940,3065,5412,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_93,Wednesday,22.0,60.0,2.0,Partners
10012,3065,5446,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_9,Thursday,7.0,120.0,4.0,Catalogue
10024,3065,5450,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_42,Thursday,7.0,120.0,4.0,Fulltext
10104,3065,5477,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_42,Thursday,9.0,60.0,2.0,Fulltext
10217,3065,5519,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_0,Thursday,11.0,180.0,7.0,
10267,3065,5532,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_42,Thursday,11.0,240.0,6.0,Fulltext
10338,3065,5572,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_78,Thursday,12.0,60.0,3.0,Partners
10456,3065,5635,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_0,Thursday,14.0,120.0,4.0,
10554,3065,5674,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",627,12,URI_111,Thursday,16.0,840.0,12.0,
10611,3065,5705,CATALOG,Info,4,Send catalog,7,In general,1000,"(656.4, 708.6]",1117,2,URI_42,Thursday,17.0,840.0,3.0,Fulltext
10622,3065,5712,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_80,Thursday,17.0,60.0,6.0,Fulltext
10754,3065,5801,CATALOG,Info,4,Send catalog,7,In general,1000,"(343.2, 395.4]",755,3,URI_131,Friday,6.0,420.0,4.0,Partners
10761,3065,5803,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_0,Friday,7.0,1380.0,6.0,
10919,3065,5862,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",837,6,URI_80,Friday,10.0,900.0,12.0,Fulltext
11002,3065,5906,CATALOG,Info,4,Send catalog,7,In general,1000,"(343.2, 395.4]",609,2,URI_0,Friday,11.0,360.0,5.0,
11112,3065,5959,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",156,5,URI_42,Friday,13.0,420.0,8.0,Fulltext
11295,3065,6026,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_0,Friday,16.0,780.0,13.0,
11318,3065,6035,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",88,7,URI_0,Friday,17.0,1440.0,11.0,
11453,3065,6111,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",180,1,URI_113,Friday,22.0,240.0,3.0,
11795,3065,6281,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Sunday,3.0,120.0,5.0,
11870,3065,6324,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_42,Sunday,11.0,240.0,6.0,Fulltext
11889,3065,6330,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_45,Sunday,12.0,60.0,2.0,Fulltext
11909,3065,6341,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_93,Sunday,13.0,360.0,4.0,Partners
12004,3065,6377,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",530,7,URI_0,Sunday,15.0,960.0,7.0,
12177,3065,6443,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",507,2,URI_0,Sunday,19.0,420.0,5.0,
12525,3065,6581,CATALOG,Info,4,Send catalog,7,In general,1000,"(238.8, 291.0]",855,13,URI_9,Monday,9.0,1860.0,13.0,Catalogue
12605,3065,6611,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",304,2,URI_9,Monday,10.0,420.0,4.0,Catalogue
12609,4250,6612,APPLICATION,Application,5,Application,9,In general,1000,"(27.39, 82.2]",78,5,URI_42,Monday,10.0,540.0,5.0,Fulltext
12621,3065,6617,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,10.0,60.0,2.0,
12665,3065,6641,CATALOG,Info,4,Send catalog,7,In general,1000,"(291.0, 343.2]",629,3,URI_34,Monday,10.0,300.0,3.0,
12718,3065,6664,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_80,Monday,11.0,60.0,2.0,Fulltext
12722,3065,6665,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,11.0,180.0,5.0,
12723,3065,6665,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_0,Monday,11.0,180.0,5.0,
12749,3065,6675,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",125,3,URI_0,Monday,11.0,120.0,3.0,
12820,3065,6707,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_0,Monday,12.0,1440.0,5.0,
12841,3065,6717,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Monday,12.0,60.0,2.0,
12883,3065,6730,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",30,1,URI_41,Monday,12.0,60.0,4.0,Fulltext
13007,3065,6772,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_39,Monday,13.0,60.0,4.0,Fulltext
13102,3065,6820,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_0,Monday,14.0,240.0,3.0,
13192,3065,6857,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",444,15,URI_111,Monday,16.0,1380.0,22.0,
13367,3065,6946,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",286,4,URI_9,Monday,21.0,240.0,4.0,Catalogue
13439,3065,6988,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_80,Tuesday,0.0,60.0,5.0,Fulltext
13465,3065,6998,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_45,Tuesday,6.0,300.0,3.0,Fulltext
13531,3065,7025,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_64,Tuesday,8.0,60.0,4.0,Partners
