userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,89,84,29,42,81,43,0,67,45,1,13,0,22,16,26,40,51,22,7
2,11,3,0,0,7,9,3,16,0,0,1,4,0,2,1,4,9,1,1
3,10,6,0,0,1,0,0,1,3,0,8,0,0,1,0,13,6,0,0
4,18,23,6,9,83,22,2,92,15,3,4,1,15,16,45,6,27,5,8
5,7,6,6,9,13,12,0,24,7,0,1,3,5,1,8,1,8,2,1
6,60,46,14,46,113,29,0,135,25,1,19,3,12,14,67,19,63,11,11
7,48,40,11,11,33,20,0,41,15,2,4,5,8,12,16,30,35,8,0
8,10,8,1,4,21,8,0,18,4,0,2,2,1,3,14,4,15,3,1
9,6,9,1,1,13,6,0,18,2,1,0,1,1,3,4,5,6,2,1
10,23,28,15,13,67,9,0,58,16,0,1,16,8,2,71,3,10,4,0
11,41,17,0,0,10,12,0,23,0,0,1,1,0,3,13,8,30,6,2
12,2,2,1,0,18,1,0,16,4,0,0,0,0,0,21,3,3,1,0
13,10,6,0,0,10,3,0,14,1,0,5,0,0,2,6,5,10,2,1
14,9,8,0,2,12,4,0,24,0,0,1,1,1,2,14,2,11,4,4
15,44,44,19,16,24,17,0,49,11,0,11,14,4,11,13,48,38,5,1
16,23,20,12,8,25,24,1,47,16,5,5,4,0,13,13,16,29,10,1
17,39,35,10,7,19,32,1,51,17,2,3,6,3,10,7,20,27,9,6
18,205,142,31,34,141,137,9,218,52,8,12,37,12,56,42,108,166,16,11
19,87,100,33,55,197,47,0,74,58,8,43,1,22,39,75,60,100,7,7
20,31,70,63,103,93,19,2,66,44,0,10,5,55,13,38,18,26,4,0
21,205,164,48,52,174,65,0,75,50,2,6,57,11,16,58,95,111,8,4
22,21,14,7,7,23,20,2,43,6,1,3,3,1,7,11,6,20,3,1
23,27,18,10,3,24,39,2,76,14,11,3,1,0,22,11,17,38,5,3
24,55,33,2,2,49,23,0,38,15,0,4,10,1,13,31,25,33,7,0
25,15,14,3,3,2,4,0,12,3,0,0,3,0,2,1,9,4,4,0
26,8,4,0,1,5,8,0,8,0,0,1,1,0,1,2,0,13,1,0
27,38,51,17,36,36,6,0,39,16,1,0,2,12,3,22,25,12,12,10
28,157,102,5,4,72,121,2,300,25,5,21,13,4,44,31,104,166,48,23
29,29,20,1,2,9,15,2,49,3,1,2,5,2,7,6,17,20,22,9
30,25,19,5,3,5,7,0,7,4,0,1,8,0,1,2,17,5,1,0
31,15,14,4,6,19,2,1,13,7,0,2,0,5,1,13,8,11,1,0
32,29,17,2,6,41,19,1,44,11,0,2,0,2,7,29,9,31,3,1
33,14,10,6,8,51,24,0,102,5,2,2,1,6,8,48,7,25,8,1
34,44,23,7,1,26,10,0,18,11,0,8,2,0,5,13,19,23,2,2
35,4,5,1,2,10,4,0,8,2,0,0,2,1,1,8,1,4,0,1
36,12,7,0,0,8,10,0,16,1,1,1,0,0,7,7,2,10,4,0
37,6,7,1,2,7,7,0,8,2,0,1,1,2,0,1,4,8,1,1
38,14,12,4,7,31,7,1,29,6,0,1,2,4,3,21,3,15,6,3
39,27,28,20,19,25,23,0,31,15,1,12,1,13,7,8,18,22,1,1
40,21,21,7,17,36,13,0,47,12,0,2,3,6,3,20,8,15,3,6
41,19,20,12,8,78,42,0,108,14,2,7,1,2,15,52,9,42,7,2
42,90,56,5,7,162,56,3,153,19,1,11,2,7,24,78,30,92,18,11
43,31,34,13,32,44,16,0,42,17,0,5,3,12,4,25,15,29,3,3
44,17,16,3,2,18,4,0,9,2,0,2,0,1,1,6,6,13,0,0
45,99,96,31,48,194,47,1,114,39,0,15,7,27,18,65,68,81,14,3
46,18,13,4,4,12,12,0,15,3,0,2,2,3,3,6,7,18,3,3
47,5,9,0,2,19,15,7,92,3,0,2,5,5,6,22,6,15,5,1
48,22,13,4,4,8,2,0,8,5,0,3,2,2,2,4,18,15,0,0
49,7,4,4,5,5,3,0,10,0,0,2,3,0,2,1,9,4,4,0
50,49,44,35,21,85,37,14,109,30,2,10,8,11,20,27,31,45,11,6
51,74,59,13,22,149,45,2,113,36,3,46,4,12,20,63,53,72,11,8
52,73,39,14,13,35,36,3,64,11,0,6,16,3,12,18,27,51,12,2
53,4,1,0,0,6,2,0,10,0,1,1,0,2,1,6,2,3,1,0
54,6,6,3,4,11,7,0,15,3,0,1,2,2,3,6,4,13,3,1
55,7,2,0,0,5,10,0,7,1,0,0,0,0,2,0,1,8,1,0
56,24,12,1,2,16,13,0,17,3,0,3,1,1,2,4,9,21,3,0
57,128,105,31,36,172,54,1,150,42,11,10,4,27,30,82,68,87,33,15
58,24,15,8,10,44,16,0,46,10,0,1,3,9,6,28,8,32,5,3
59,31,20,2,2,21,16,2,58,5,6,5,1,0,17,20,12,39,24,0
60,3,6,2,5,2,6,0,15,2,0,0,1,2,2,5,0,6,3,0
61,10,4,0,0,4,13,0,18,4,0,5,0,0,5,3,8,15,3,3
62,164,129,11,21,88,63,0,142,66,1,21,48,5,42,42,112,112,18,5
63,98,79,33,29,99,53,7,89,35,5,9,19,10,21,30,50,64,15,1
64,121,99,33,49,207,94,6,233,67,3,53,7,28,55,104,57,137,27,9
65,15,7,0,0,5,11,0,25,4,0,0,6,0,6,3,9,12,6,0
66,99,68,16,18,144,58,0,149,39,4,23,1,6,25,59,44,79,14,10
67,20,11,5,5,17,10,0,12,3,0,0,1,0,2,4,9,9,3,2
68,354,260,75,93,447,163,33,424,123,3,77,55,44,69,258,163,284,46,20
69,18,11,0,0,9,7,0,18,1,1,5,0,0,5,4,16,13,2,4
70,3,8,1,4,18,7,2,51,4,0,1,1,0,2,14,6,2,5,1
71,20,15,1,5,7,3,0,5,4,0,0,0,1,2,6,9,13,1,0
72,17,10,0,0,9,8,0,20,0,0,3,2,0,4,8,10,14,4,1
73,63,56,21,21,109,26,0,66,23,0,4,24,4,12,32,31,30,5,2
74,14,11,0,0,27,36,1,159,6,4,11,0,1,16,28,8,49,11,5
75,25,20,5,5,7,8,0,17,8,0,4,1,3,9,8,19,18,2,2
76,25,16,0,0,23,33,1,40,6,0,14,6,0,13,2,20,35,7,3
77,18,14,1,1,4,4,0,5,5,0,0,6,0,3,2,9,6,0,0
78,28,18,1,2,21,10,0,8,2,0,3,2,0,2,6,14,20,3,0
79,37,19,0,0,13,11,5,20,4,1,6,0,4,2,6,14,22,5,0
80,77,33,1,3,11,43,0,70,13,1,47,24,0,36,4,55,118,6,0
81,9,5,0,0,2,6,0,6,0,0,0,1,0,2,1,5,10,2,0
82,107,64,10,15,106,51,1,44,23,0,13,2,7,13,31,35,60,7,8
83,28,27,9,7,15,11,0,65,13,0,5,10,4,10,19,21,22,21,0
84,31,24,2,17,112,32,4,165,16,3,11,1,17,15,92,14,46,17,8
85,0,1,0,1,4,0,0,25,1,0,0,0,0,2,6,1,1,2,0
86,30,28,12,11,14,9,0,27,17,0,2,6,2,6,17,17,18,5,1
87,2,5,3,5,9,0,0,11,5,0,2,0,1,1,2,6,3,0,0
88,16,7,0,0,9,17,0,32,5,0,3,3,0,10,3,6,21,4,2
89,49,71,79,85,391,37,4,88,47,0,34,7,12,14,78,26,20,9,4
90,3,4,1,2,22,5,4,32,2,0,1,0,3,1,18,4,6,1,0
91,189,126,35,30,151,92,8,173,62,2,89,7,17,44,57,112,186,19,16
92,4,8,3,8,9,1,0,10,4,0,3,1,3,1,4,3,3,2,0
93,46,56,4,17,36,8,0,26,19,0,3,1,1,2,23,22,22,4,4
94,16,16,2,6,17,9,0,19,5,0,1,2,2,2,6,7,18,4,3
95,57,44,5,5,54,35,2,70,10,3,5,4,2,12,28,57,45,4,0
96,33,22,2,4,17,14,0,27,5,1,3,1,2,7,8,12,24,5,1
97,22,14,2,3,9,6,0,11,2,0,1,1,0,0,5,7,11,4,0
98,23,28,17,17,31,6,0,31,14,0,11,8,7,5,13,21,14,3,0
99,17,7,1,1,18,13,0,18,0,0,2,1,1,2,10,2,20,2,3
100,25,17,2,6,82,12,0,71,10,0,1,1,12,5,79,6,16,6,5
101,11,7,3,2,18,7,0,23,2,0,5,1,2,5,4,7,11,0,0
102,22,13,2,4,21,13,0,18,0,0,2,2,2,3,14,4,23,3,5
103,79,103,53,86,152,62,2,171,68,4,14,25,26,22,53,35,61,12,8
104,45,74,42,56,171,15,0,68,46,1,2,14,40,7,93,27,23,7,2
105,164,138,106,62,242,132,22,361,86,6,30,33,14,70,124,93,147,44,7
106,19,25,2,5,6,2,0,9,20,0,2,11,0,4,1,6,7,0,0
107,11,13,1,3,13,7,0,17,4,0,1,1,0,1,5,5,9,3,3
108,7,10,2,3,28,5,0,44,2,0,0,1,1,4,36,11,9,1,1
109,25,16,6,11,45,20,1,61,8,1,5,2,6,5,24,11,36,6,6
110,13,5,0,1,19,13,1,29,0,0,1,0,0,4,8,3,13,6,0
111,116,98,52,57,409,77,19,123,61,0,19,20,26,25,105,36,72,5,4
112,24,18,4,3,8,11,0,21,5,0,2,6,1,5,4,17,15,4,1
113,5,5,3,8,51,14,0,78,7,2,7,0,5,16,71,3,24,5,0
114,13,20,4,5,10,3,0,7,11,0,2,8,1,1,3,9,5,0,0
115,34,29,13,13,43,11,0,23,11,1,18,2,9,11,6,16,28,6,12
116,27,18,3,4,28,8,0,26,6,0,6,0,7,5,28,11,19,5,1
117,42,31,14,25,56,23,0,71,17,0,5,3,13,6,40,16,44,9,5
118,3,2,0,0,5,8,0,14,0,0,1,0,0,2,1,1,6,2,1
119,97,71,32,26,70,48,4,88,27,1,6,22,1,11,18,37,66,12,4
120,6,8,2,3,8,2,0,6,2,0,1,0,2,2,5,3,5,0,0
121,15,8,2,2,16,10,1,24,3,0,2,2,1,2,16,3,20,5,3
122,102,82,23,19,117,59,2,111,35,1,38,21,4,27,25,80,88,11,8
123,24,14,3,2,5,19,0,34,5,0,1,6,0,10,3,16,31,3,1
124,8,12,5,5,19,11,0,23,2,1,2,0,0,6,7,7,13,2,0
125,108,71,27,19,139,51,1,153,41,3,25,20,5,25,56,85,86,11,4
126,13,9,3,4,7,8,0,13,2,0,1,3,3,1,5,4,14,3,1
127,1,0,0,0,6,1,0,8,0,1,0,0,1,3,2,0,3,1,1
128,10,8,0,0,10,7,0,11,2,3,3,0,3,9,10,3,10,1,0
129,76,69,22,18,39,14,0,37,30,1,6,8,9,10,24,43,36,8,0
130,10,10,1,2,9,6,0,12,3,0,1,1,0,0,2,4,9,2,1
131,19,15,1,0,11,23,1,40,5,1,3,4,0,9,6,14,25,7,0
132,40,43,22,30,116,52,2,155,44,4,16,10,25,27,96,27,62,6,2
133,10,5,1,1,8,8,0,11,1,0,1,1,1,3,4,4,15,3,0
134,16,11,5,5,8,8,0,14,3,0,3,2,4,2,5,6,11,2,3
135,84,56,6,16,106,43,2,77,39,1,21,0,9,23,30,46,80,7,3
136,31,18,4,7,35,16,0,32,8,0,7,2,4,5,16,11,26,6,4
137,33,33,5,8,34,19,6,75,14,5,13,2,5,11,27,27,29,19,3
138,8,6,3,3,8,1,0,7,3,0,0,1,0,0,4,3,1,0,0
139,49,46,10,7,17,15,0,28,20,0,5,17,2,11,6,25,29,6,3
140,167,112,12,45,133,122,3,337,28,5,6,5,11,41,111,36,174,63,40
141,53,59,24,23,96,30,0,52,29,1,6,19,8,9,26,30,29,6,2
142,13,9,3,4,9,9,0,17,2,0,1,3,3,2,6,3,19,3,1
143,3,10,9,9,46,1,1,13,7,0,0,3,2,0,31,2,1,2,0
144,35,38,13,17,53,19,2,52,18,0,6,3,8,8,40,13,30,6,4
145,7,10,3,3,7,7,0,9,2,0,0,2,2,1,3,3,9,1,1
146,3,2,2,7,11,5,0,11,5,0,2,1,0,4,11,2,6,1,0
147,4,2,1,1,11,3,0,4,1,0,1,0,1,0,4,2,3,1,1
148,17,31,19,13,14,1,0,13,22,0,0,15,5,2,13,9,5,2,0
149,21,14,2,1,4,1,0,4,1,0,6,0,0,1,1,31,12,1,0
150,10,7,0,1,9,4,0,10,2,0,0,0,1,3,5,3,15,0,0
151,9,13,5,13,37,2,0,12,12,0,6,0,4,1,8,4,14,0,0
152,16,10,1,1,16,22,4,40,3,1,1,3,1,8,7,7,24,6,0
153,3,10,4,5,33,6,0,74,9,1,1,2,6,4,32,6,9,2,0
154,20,21,8,8,8,3,0,6,8,0,0,13,0,2,3,15,2,2,0
155,20,20,7,9,25,7,0,5,5,0,1,0,1,0,4,10,7,2,1
156,43,45,10,19,188,66,3,205,31,12,6,1,20,34,94,22,58,28,6
157,3,4,1,3,9,3,0,9,2,0,0,0,0,2,1,1,3,1,0
158,7,4,0,1,10,5,1,7,6,0,5,0,0,1,4,4,10,0,0
159,8,17,12,9,43,2,0,40,12,0,0,3,5,1,41,3,6,3,0
160,69,45,21,30,64,47,0,100,32,2,24,3,17,24,29,55,69,14,1
161,4,14,13,15,22,3,2,9,8,0,1,0,7,1,10,6,3,0,0
162,5,3,1,1,10,9,0,35,1,0,0,1,1,1,14,1,9,3,2
163,3,0,0,1,11,1,0,7,0,1,2,0,0,4,6,1,6,0,0
164,32,18,0,2,5,3,0,9,2,0,2,0,0,0,4,16,13,2,1
165,28,16,2,2,21,17,0,31,3,0,2,0,1,3,15,9,19,2,3
166,83,52,15,15,52,52,2,84,29,3,14,7,3,20,28,34,67,11,3
167,42,54,25,31,86,25,0,32,42,1,8,8,14,5,19,29,22,4,1
168,15,8,3,5,23,25,2,63,5,6,2,0,2,17,14,1,24,13,5
169,42,54,24,46,145,23,3,103,42,0,6,6,50,6,81,25,30,10,3
170,18,12,5,8,14,6,0,23,3,0,1,3,5,1,12,3,18,4,4
171,21,22,8,11,31,18,0,34,15,0,3,0,8,8,8,10,19,2,5
172,10,10,1,2,9,3,0,9,5,0,6,0,1,1,1,4,5,3,1
173,8,7,2,4,11,2,0,10,3,0,1,2,2,0,7,4,5,3,0
174,22,19,2,5,27,8,0,23,5,0,1,2,2,5,14,10,22,3,4
175,0,0,0,2,8,0,0,14,0,0,0,0,3,0,9,0,0,0,0
176,18,14,1,1,11,7,0,12,1,0,1,1,1,1,4,5,16,2,4
177,173,182,96,130,338,111,3,355,132,6,52,51,71,58,214,83,166,30,11
178,22,17,2,3,22,15,2,38,7,0,3,1,0,6,18,10,26,8,1
179,26,18,2,4,30,14,0,22,4,0,3,2,1,4,9,9,29,3,1
180,10,9,1,1,8,2,0,7,6,1,2,0,0,0,2,8,6,1,0
181,22,14,4,8,36,14,0,40,8,0,3,1,6,4,20,3,33,4,3
182,205,140,28,23,289,179,13,468,72,11,47,5,17,77,148,117,239,56,11
183,42,18,0,1,7,9,0,18,1,0,4,0,1,1,3,11,20,8,4
184,55,33,24,5,22,12,8,40,18,0,3,12,0,13,6,38,25,6,0
185,3,12,12,14,17,3,0,20,7,0,0,2,12,3,19,1,6,1,0
186,84,95,16,36,72,17,1,67,44,3,20,3,17,15,41,87,59,7,4
187,56,40,23,8,55,59,17,128,32,8,32,2,4,26,21,34,71,14,5
188,2,1,2,4,22,1,0,22,4,3,0,0,14,9,16,1,9,4,1
189,9,7,2,2,2,9,0,11,5,0,2,5,0,2,2,2,6,2,0
190,15,18,5,6,24,17,2,36,12,1,0,6,1,11,18,9,16,4,0
191,9,7,3,4,25,12,4,46,4,1,0,0,0,4,18,2,17,3,0
192,11,8,0,0,5,5,0,12,1,0,1,1,0,2,3,4,13,3,3
193,7,11,2,0,7,8,0,22,5,0,2,1,0,2,7,6,9,2,0
194,7,3,0,0,11,3,0,7,0,1,1,0,2,1,7,2,4,3,1
195,41,24,2,4,46,36,0,99,6,2,9,1,1,14,23,16,49,13,3
196,13,11,2,2,2,5,0,15,1,0,2,4,1,3,0,6,9,3,0
197,13,3,0,0,10,10,0,15,0,0,1,0,0,2,6,8,12,2,2
198,42,31,4,5,52,33,0,110,9,3,10,2,1,22,43,48,48,12,3
199,67,39,0,1,108,79,5,179,9,4,9,3,1,25,66,22,73,39,7
200,104,87,11,23,167,46,1,111,39,3,8,12,16,13,90,45,65,11,3
201,34,30,5,9,56,10,0,33,14,0,6,1,3,5,32,33,23,3,2
202,125,90,12,16,105,57,3,222,32,6,10,2,9,35,79,61,103,30,16
203,19,17,3,4,11,10,0,16,11,0,1,4,0,3,2,9,16,2,2
204,16,11,13,10,25,22,0,38,11,3,7,5,0,11,6,10,29,7,1
205,12,14,1,3,4,2,1,11,10,0,0,8,2,3,4,3,5,4,1
206,7,8,3,4,8,2,0,12,3,0,0,0,3,3,8,3,9,0,1
207,4,5,0,0,3,1,0,5,2,0,3,0,0,0,1,2,6,0,1
208,14,6,0,0,3,3,0,8,1,0,2,0,0,3,2,5,10,3,0
209,15,11,1,1,5,9,0,21,5,0,2,5,0,6,4,5,11,3,0
210,65,88,22,26,26,5,0,28,36,0,3,26,0,6,8,78,19,2,0
211,48,32,5,6,20,29,0,33,8,1,2,10,4,12,7,23,36,7,0
212,106,86,36,30,86,47,0,93,44,1,13,28,6,18,24,49,53,10,4
213,35,30,7,10,21,8,0,28,18,0,14,8,1,8,11,16,33,4,0
214,4,5,2,3,6,1,0,8,4,0,0,0,2,2,5,3,5,0,0
215,21,16,0,1,40,20,1,52,8,1,3,1,0,9,26,8,16,8,1
216,14,16,15,15,96,19,1,52,15,9,2,2,20,8,36,6,18,5,3
217,163,126,22,52,171,62,0,106,43,3,17,0,18,25,39,72,123,16,7
218,5,6,0,0,10,3,0,5,1,1,2,1,2,2,3,3,3,3,0
219,198,131,36,33,157,105,4,137,53,8,23,19,12,49,46,89,171,10,4
220,87,77,25,26,70,33,1,56,23,0,3,19,8,10,22,50,59,6,5
221,48,37,4,6,105,80,13,192,18,18,14,1,5,40,54,23,63,27,17
222,66,31,7,7,97,57,2,101,9,2,5,9,4,14,37,26,47,14,4
223,25,23,8,9,21,11,1,25,13,1,2,7,3,7,16,13,22,2,1
224,4,4,1,3,33,3,0,19,8,0,1,0,0,1,26,2,3,3,0
225,10,12,2,2,47,6,0,13,8,0,20,0,2,6,14,8,12,0,0
226,101,115,36,65,262,71,6,152,76,0,25,14,31,33,81,61,77,10,9
227,29,21,4,3,17,23,4,60,7,1,1,9,2,9,15,20,30,11,1
228,14,7,2,1,1,4,0,6,1,0,5,0,0,2,1,11,12,1,0
229,20,13,2,5,28,14,0,28,6,0,2,2,1,1,13,5,22,3,1
230,45,37,9,12,36,13,0,29,18,0,12,7,4,7,17,23,33,1,1
231,11,7,0,0,3,7,0,6,1,0,3,2,0,0,3,9,6,0,0
232,251,176,63,101,342,125,15,303,104,1,60,36,42,54,143,108,221,32,6
233,41,34,10,10,38,39,2,79,18,1,4,11,4,15,16,21,40,11,1
234,74,86,35,67,66,21,0,42,37,0,9,1,20,8,18,38,26,3,7
235,14,12,6,9,22,8,1,29,5,0,1,3,6,3,18,5,18,4,1
236,3,2,0,0,14,3,0,5,3,0,8,0,1,3,3,2,6,0,0
237,17,7,1,1,13,14,0,24,3,0,1,2,0,9,7,11,20,3,0
238,17,3,0,0,6,16,0,20,0,1,2,0,0,4,4,0,17,6,4
239,125,82,15,17,82,72,4,119,35,2,7,17,4,25,39,63,98,16,6
240,44,38,10,29,54,11,0,39,20,0,6,3,8,3,23,21,28,5,5
241,10,7,4,1,18,13,0,64,4,0,2,3,4,9,20,10,21,6,1
242,9,10,1,2,11,8,0,16,2,0,2,1,1,2,4,5,16,2,3
243,23,11,3,6,13,9,0,8,5,0,0,1,3,1,6,4,15,4,0
244,42,23,0,1,17,12,0,34,6,1,5,0,0,3,12,15,31,13,3
245,0,1,3,3,5,2,5,6,1,0,0,0,0,0,2,0,1,1,0
246,73,67,31,26,64,24,0,94,50,3,7,26,4,25,46,48,54,5,5
247,53,56,20,22,31,30,0,65,27,1,3,22,7,19,16,31,39,8,2
248,33,34,7,6,12,3,1,4,8,0,0,6,0,2,2,26,9,0,0
249,456,282,73,67,410,192,5,319,124,4,89,100,22,87,113,235,350,38,16
250,2,4,4,4,6,3,0,16,2,0,1,0,3,2,7,2,8,1,1
251,6,3,3,3,5,8,2,15,3,0,1,1,0,2,3,1,9,4,0
252,11,18,19,15,20,1,0,14,14,0,0,6,4,2,5,7,2,0,0
253,1,3,4,0,17,5,8,30,5,1,0,0,2,5,9,2,7,1,1
254,39,33,6,8,25,32,4,61,10,2,8,4,2,19,16,25,49,7,1
255,5,4,3,5,17,2,0,1,0,0,1,0,3,0,1,3,2,1,0
256,69,60,16,21,69,22,1,53,16,0,8,17,1,6,29,60,44,4,3
257,9,5,1,1,8,4,0,3,3,0,0,0,2,1,3,1,4,0,1
258,8,8,5,3,3,4,0,13,5,0,1,1,0,2,4,7,6,1,0
259,4,7,3,4,13,2,0,8,4,0,0,0,1,1,7,4,2,0,0
260,15,16,16,7,56,33,13,76,18,2,14,0,4,14,25,14,32,2,0
261,17,2,0,0,16,19,0,29,2,0,0,3,0,9,4,12,17,4,1
262,4,3,1,1,18,9,0,28,3,1,1,0,1,2,13,2,11,0,0
263,41,46,20,22,91,22,6,100,19,2,2,3,11,9,86,17,23,11,1
264,18,25,9,13,11,1,0,18,12,0,5,3,8,5,9,17,11,7,0
265,37,34,0,4,29,16,0,91,6,0,3,1,2,6,22,52,28,10,3
266,60,37,2,2,63,33,1,43,15,1,7,0,5,6,9,29,42,9,1
267,24,18,0,2,12,3,0,20,5,0,7,1,1,4,7,24,20,2,1
268,21,11,0,0,38,19,0,45,4,3,2,0,2,9,12,11,19,3,1
269,9,8,2,5,9,5,0,9,3,0,1,0,2,2,5,3,13,0,0
270,10,8,2,3,12,6,0,11,3,0,0,0,2,3,9,3,11,0,0
271,10,9,1,1,7,7,0,20,3,1,7,0,2,4,4,16,15,1,0
272,17,10,3,3,6,5,0,8,2,0,1,7,0,1,2,15,9,1,1
273,8,9,6,9,32,8,0,21,6,0,3,3,5,1,14,6,10,1,0
274,390,259,93,138,468,201,13,372,147,7,218,29,47,94,117,199,390,33,24
275,34,31,11,13,180,72,14,205,22,9,3,0,6,24,87,21,62,15,5
276,11,18,6,11,26,0,0,7,7,0,1,2,3,1,5,8,5,2,0
277,13,12,2,4,14,1,0,2,5,0,0,0,1,1,3,10,10,0,0
278,1,1,1,1,10,3,0,9,0,0,1,0,1,3,3,1,3,2,1
279,86,46,2,2,34,45,0,62,12,1,10,16,1,19,8,49,64,12,4
280,23,26,8,21,112,24,1,91,28,0,3,8,11,10,80,8,19,6,0
281,3,3,1,1,10,2,0,8,2,0,0,2,2,0,6,1,2,1,0
282,59,47,15,18,101,61,4,108,24,0,5,7,10,18,33,26,58,13,3
283,6,4,1,4,20,5,0,10,4,0,2,1,0,0,6,4,5,2,0
284,34,22,2,5,51,13,0,13,8,0,0,1,2,2,19,13,24,2,3
285,2,0,0,1,10,7,0,23,0,1,2,0,1,4,6,0,9,1,1
286,29,21,6,9,38,25,0,52,10,1,10,2,3,7,21,12,36,5,1
287,10,15,2,4,44,15,2,47,16,1,4,1,4,6,20,10,14,5,0
288,188,220,66,132,355,106,4,364,100,6,60,19,48,60,144,140,171,54,34
289,3,1,1,1,11,3,3,10,3,0,2,0,3,0,5,2,3,4,2
290,30,35,7,11,61,47,5,164,12,10,20,2,11,27,47,17,54,23,7
291,15,26,6,6,4,2,0,7,15,0,0,14,0,3,2,9,5,1,0
292,204,166,45,66,118,54,1,110,55,0,9,52,13,21,41,97,122,15,8
293,4,2,1,1,3,3,0,6,1,1,1,0,0,1,2,2,4,1,0
294,62,59,9,21,160,47,1,59,31,1,9,0,8,8,26,35,31,8,7
295,12,5,0,1,5,18,0,19,1,1,1,1,0,6,4,2,17,1,1
296,7,5,3,1,3,6,1,15,4,0,0,1,0,3,4,3,7,6,1
297,14,4,0,0,3,21,0,18,0,1,1,1,0,7,2,1,34,1,0
298,194,148,43,15,277,96,9,219,72,4,25,39,10,34,77,140,121,15,6
299,12,6,0,1,2,2,0,5,1,0,7,0,0,1,1,4,8,2,1
300,7,1,0,0,6,8,0,27,1,1,3,3,0,4,8,5,11,5,1
301,20,24,5,8,32,18,0,51,11,0,0,6,3,6,26,11,29,4,1
302,12,7,0,0,6,9,0,15,0,0,0,0,0,4,6,5,16,1,2
303,29,23,0,1,11,2,0,12,1,0,4,1,0,3,3,39,19,1,0
304,76,58,13,22,67,24,0,78,20,0,8,2,12,8,52,47,52,14,7
305,270,152,25,34,160,149,0,296,64,4,61,51,11,64,67,157,241,44,14
